;company_id;NFS_CODE;NFS_NAME;LT_NNR2;LT_NAME;IL_NAME;IL_NUMBER;IL_DATE;IL_DATE_BEGIN;IL_DATE_END;IL_DATE_NULLIFY;IL_TERM;IL_DUPLICAT_DATE;IL_DUPLICAT_NO;LT_NNR_DUPL;IL_REREG_DATE;IL_REREG_NO;LT_NNR_REREG;IL_SUSPEND_DATE;LT_NNR_SUSPEND;IL_RESUME_DATE;LT_NNR_RESUME;IL_NULLIFY_NO;LT_BOOL;IL_APPOINTMENT;ILD_LRO_DATE;ILD_AOC_NUM;ILD_AOC_DATE;ILD_AOSRS_NUM;ILD_AOSRS_DATE
0;0; 2.2 ; Обов`язковіі види страхування (інші) ; Н/В ; Недійсна ліцензія ; ; ; ; ; ; ; ; ; ; ; ; ; Н/В ; ; ; ; ; ; Ні ; ; ; ; ; ; 
1;0; 11.53 ;" ПОСЛУГИ У СФЕРІ СТРАХУВАННЯ; СТРАХОВІ ПОСЛУГИ "; Заява лiцензiата про анулювання лiцензiї ; АНУЛЮВАННЯ ЛІЦЕНЗІЇ ; СТРАХУВАННЯ НАЗЕМНОГО ТРАНСПОРТУ (КРІМ ЗАЛІЗНИЧНОГО) ; АВ № 528979 ; ; 19.02.2007 ; ; 13.04.2017 ; БЕЗСТРОКОВИЙ ; ; ; ; 13.04.2017 ; ; Н/В ; ; ; ; ; 1110 ; Так ; ; ; ; ; ; 
2;0; 3.0 ; ПОСЛУГИ У СФЕРІ СТРАХУВАННЯ В ЧАСТИНІ ПРОВЕДЕННЯ КОНКРЕТНИХ ВИДІВ СТРАХУВАННЯ, ВИЗНАЧЕНИХ ЗАКОНОДАВСТВОМ ; Заява лiцензiата про анулювання лiцензiї ; АНУЛЮВАННЯ ЛІЦЕНЗІЇ ; СТРАХУВАННЯ ВІДПОВІДАЛЬНОСТІ СУБ`ЄКТІВ ПЕРЕВЕЗЕННЯ НЕБЕЗПЕЧНИХ ВАНТАЖІВ НА ВИПАДОК НАСТАННЯ НЕГАТИВНИХ НАСЛІДКІВ ПРИ ПЕРЕВЕЗЕННІ НЕБЕЗПЕЧНИХ ВАНТАЖІВ ; АВ № 528967 ; ; 11.06.2010 ; ; 13.04.2017 ; БЕЗСТРОКОВИЙ ; ; ; ; 13.04.2017 ; ; Н/В ; ; ; ; ; 1110 ; Ні ; ; ; ; ; ; 
3;0; 3.0 ; ПОСЛУГИ У СФЕРІ СТРАХУВАННЯ В ЧАСТИНІ ПРОВЕДЕННЯ КОНКРЕТНИХ ВИДІВ СТРАХУВАННЯ, ВИЗНАЧЕНИХ ЗАКОНОДАВСТВОМ ; Заява лiцензiата про анулювання лiцензiї ; АНУЛЮВАННЯ ЛІЦЕНЗІЇ ; СТРАХУВАННЯ ВРОЖАЮ СІЛЬСЬКОГОСПОДАРСЬКИХ КУЛЬТУР І БАГАТОРІЧНИХ НАСАДЖЕНЬ ДЕРЖАВНИМИ СІЛЬСЬКОГОСПОДАРСЬКИМИ ПІДПРИЄМСТВАМИ, ВРОЖАЮ ЗЕРНОВИХ КУЛЬТУР І ЦУКРОВИХ БУРЯКІВ СІЛЬСЬКОГОСПОДАРСЬКИМИ ПІДПРИЄМСТВАМИ ВСІХ ФОРМ ВЛАСНОСТІ ; АВ № 528970 ; ; 30.10.2007 ; ; 13.04.2017 ; БЕЗСТРОКОВИЙ ; ; ; ; 13.04.2017 ; ; Н/В ; ; ; ; ; 1110 ; Ні ; ; ; ; ; ; 
4;0; 3.0 ; ПОСЛУГИ У СФЕРІ СТРАХУВАННЯ В ЧАСТИНІ ПРОВЕДЕННЯ КОНКРЕТНИХ ВИДІВ СТРАХУВАННЯ, ВИЗНАЧЕНИХ ЗАКОНОДАВСТВОМ ; Заява лiцензiата про анулювання лiцензiї ; АНУЛЮВАННЯ ЛІЦЕНЗІЇ ; СТРАХУВАННЯ ЦИВІЛЬНОЇ ВІДПОВІДАЛЬНОСТІ СУБ`ЄКТІВ ГОСПОДАРЮВАННЯ ЗА ШКОДУ, ЯКУ МОЖЕ БУТИ ЗАПОДІЯНО ПОЖЕЖАМИ ТА АВАРІЯМИ НА ОБ`ЄКТАХ ПІДВИЩЕНОЇ НЕБЕЗПЕКИ, ВКЛЮЧАЮЧИ ПОЖЕЖОВИБУХОНЕБЕЗПЕЧНІ  ОБ`ЄКТИ ТА ОБ`ЄКТИ, ГОСПОДАРСЬКА ДІЯЛЬНІСТЬ НА ЯКИХ МОЖЕ ПРИЗВЕСТИ ДО АВАРІЙ ЕКОЛОГІЧНОГО ТА САНІТАРНО-ЕКОЛОГІЧНОГО ХАРАКТЕРУ ; АВ № 528968 ; ; 19.02.2007 ; ; 13.04.2017 ; БЕЗСТРОКОВИЙ ; ; ; ; 13.04.2017 ; ; Н/В ; ; ; ; ; 1110 ; Ні ; ; ; ; ; ; 
5;0; 3.0 ; ПОСЛУГИ У СФЕРІ СТРАХУВАННЯ В ЧАСТИНІ ПРОВЕДЕННЯ КОНКРЕТНИХ ВИДІВ СТРАХУВАННЯ, ВИЗНАЧЕНИХ ЗАКОНОДАВСТВОМ ; Н/В ; АНУЛЮВАННЯ ЛІЦЕНЗІЇ ; ОСОБИСТЕ СТРАХУВАННЯ ПРАЦІВНИКІВ ВІДОМЧОЇ (КРІМ ТИХ, ЯКІ ПРАЦЮЮТЬ В УСТАНОВАХ І ОРГАНІЗАЦІЯХ, ЩО ФІНАНСУЮТЬСЯ З ДЕРЖАВНОГО БЮДЖЕТУ УКРАЇНИ) ТА СІЛЬСЬКОЇ ПОЖЕЖНОЇ ОХОРОНИ І ЧЛЕНІВ ДОБРОВІЛЬНИХ ПОЖЕЖНИХ ДРУЖИН (КОМАНД) ; АВ № 528969 ; ; 19.02.2007 ; ; 13.04.2017 ; БЕЗСТРОКОВИЙ ; ; ; ; 13.04.2017 ; ; Н/В ; ; ; ; ; 1110 ; Ні ; ; ; ; ; ; 
6;0; 3.0 ; ПОСЛУГИ У СФЕРІ СТРАХУВАННЯ В ЧАСТИНІ ПРОВЕДЕННЯ КОНКРЕТНИХ ВИДІВ СТРАХУВАННЯ, ВИЗНАЧЕНИХ ЗАКОНОДАВСТВОМ ; Заява лiцензiата про анулювання лiцензiї ; АНУЛЮВАННЯ ЛІЦЕНЗІЇ ; ОСОБИСТЕ  СТРАХУВАННЯ ВІД НЕЩАСНИХ ВИПАДКІВ НА ТРАНСПОРТІ ; АВ № 528971 ; ; 19.02.2007 ; ; 13.04.2017 ; БЕЗСТРОКОВИЙ ; ; ; ; 13.04.2017 ; ; Н/В ; ; ; ; ; 1110 ; Ні ; ; ; ; ; ; 
7;0; 2.2 ; Обов`язковіі види страхування (інші) ; ; Недійсна ліцензія ; СТРАХУВАННЯ ЦИВІЛЬНО-ПРАВОВОЇ ВІДПОВІДАЛЬНОСТІ ВЛАСНИКІВ НАЗЕМНИХ ТРАНСПОРТНИХ ЗАСОБІВ ; АВ № 528966 ; ; 28.02.2008 ; 27.02.2011 ; ; ТРИ РОКИ ; ; ; ; 11.06.2010 ; ; ; ; ; ; ; ; Ні ; ; ; ; ; ; 
8;0; 11.53 ;" ПОСЛУГИ У СФЕРІ СТРАХУВАННЯ; СТРАХОВІ ПОСЛУГИ "; Н/В ; АНУЛЮВАННЯ ЛІЦЕНЗІЇ ; СТРАХУВАННЯ ФІНАНСОВИХ РИЗИКІВ ; АВ № 528978 ; ; 19.02.2007 ; ; 13.04.2017 ; БЕЗСТРОКОВИЙ ; ; ; ; 13.04.2017 ; ; Н/В ; ; ; ; ; 1110 ; Так ; ; ; ; ; ; 
9;0; 11.53 ;" ПОСЛУГИ У СФЕРІ СТРАХУВАННЯ; СТРАХОВІ ПОСЛУГИ "; Заява лiцензiата про анулювання лiцензiї ; АНУЛЮВАННЯ ЛІЦЕНЗІЇ ; СТРАХУВАННЯ ВАНТАЖІВ ТА БАГАЖУ (ВАНТАЖОБАГАЖУ) ; АВ № 528974 ; ; 19.02.2007 ; ; 13.04.2017 ; БЕЗСТРОКОВИЙ ; ; ; ; 13.04.2017 ; ; Н/В ; ; ; ; ; 1110 ; Так ; ; ; ; ; ; 
