;company_id;IM_NUMIDENT;IAN_FULL_NAME;IA_FULL;IA_PHONE_CODE;IA_PHONE;IND_OBL;FIO;ST_NAME;IM
0;0;" Сімферопольська філія Приватного акціонерного товариства ""Кримська страхова компанія"" "; 33365264 ; 95000 АВТОНОМНА РЕСПУБЛІКА КРИМ, СІМФЕРОПОЛЬ СІМФЕРОПОЛЬ, Горького, буд.30, оф.(кв.)10 ; 044 ; 4920053 ; АВТОНОМНА РЕСПУБЛІКА КРИМ ; НЕ МАЄ НЕ МАЄ НЕ МАЄ ; Виключена з реєстру ; Детально 
1;0;" Донецька філія Приватного акціонерного товариства ""Кримська страхова компанія"" "; 33646729 ; 83015 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Челюскінців, буд.202 ; 062 ; 311 07 41 ; ДОНЕЦЬКА ОБЛАСТЬ ; Лизак   Раїса Борисівна ; Виключена з реєстру ; Детально 
2;0;" Херсонська філія Приватного акціонерного товариства ""Кримська страхова компанія"" "; 26185770 ; 73000 ХЕРСОНСЬКА ОБЛАСТЬ, ХЕРСОН, МІСТО ХЕРСОН, 9-січня, буд.10 ; 044 ; 4920053 ; ХЕРСОНСЬКА ОБЛАСТЬ ; НЕ МАЄ НЕ МАЄ НЕ МАЄ ; Виключена з реєстру ; Детально 
3;0;" Одеська філія Приватного акціонерного товариства ""Кримська страхова компанія"" "; 35337087 ; 65005 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Бугаївська, буд.21, оф.710 ; 048 ; 73 42 715 ; ОДЕСЬКА ОБЛАСТЬ ; Кудрицька Діана Олександрівна ; Виключена з реєстру ; Детально 
4;0;" Харківська філія Приватного акціонерного товариства ""Кримська страхова компанія"" "; 35337071 ; 61072 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, проспект Леніна, буд.50, оф.14 ; 057 ; 340 22 78 ; ХАРКІВСЬКА ОБЛАСТЬ ; Пономаренко Леонід Данилович ; Виключена з реєстру ; Детально 
5;0;" Миколаївська філія Приватного акціонерного товариства ""Кримська страхова компанія"" "; 33250020 ; 54001 МИКОЛАЇВСЬКА ОБЛАСТЬ, МИКОЛАЇВ, МІСТО МИКОЛАЇВ, Адмірала Макарова, буд.56, оф.(кв.)39 ; (044) ; 4920053 ; МИКОЛАЇВСЬКА ОБЛАСТЬ ; НЕ МАЄ НЕ МАЄ НЕ МАЄ ; Виключена з реєстру ; Детально 
6;0;" Дніпропетровська філія Приватного акціонерного товариства ""Кримська страхова компанія"" "; 34464698 ; 49044 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, Короленка, буд.19, оф.27 ; 056 ; 744 79 79 ; ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ ; Коваль Марина  Олександрівна ; Виключена з реєстру ; Детально 
7;0;" Київська філія Приватного акціонерного товариства ""Кримська страхова компанія""  "; 26194800 ; 04080 КИЇВ, КИЇВ 80, Кирилівська, буд.102 ; 044 ; 492 00 53 ; КИЇВ ; Савченко Тетяна Владиславівна ; Виключена з реєстру ; Детально 
8;6;" Луганська дирекція Страхової компанії товариства з додатковою відповідальністю ""ОЛВІ"" "; 26262045 ; 91040 ЛУГАНСЬКА ОБЛАСТЬ, ЛУГАНСЬК, МІСТО ЛУГАНСЬК, квартал Ватутіна, буд.10, оф.40 ; 0642 ; 63-16-63 ; ЛУГАНСЬКА ОБЛАСТЬ ; Працко Людмила Миколаївна ; Виключена з реєстру ; Детально 
9;7;" Свердловська міська філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305672 ; 94800 ЛУГАНСЬКА ОБЛАСТЬ, СВЕРДЛОВСЬКИЙ РАЙОН СВЕРДЛОВСЬК, Мірющенко, буд.1 ; 06434 ; 2-31-35 ; ЛУГАНСЬКА ОБЛАСТЬ ; Дроботова Світлана Петрівна ; Виключена з реєстру ; Детально 
10;7;" Ровеньківська міська філія ПАТ ""СК ""ОРАНТА- ЛУГАНЬ"" "; 02305873 ; 94730 ЛУГАНСЬКА ОБЛАСТЬ, РОВЕНЬКИ, МІСТО РОВЕНЬКИ, Карла Маркса, буд.134 А ; 06433 ; 5-10-30 ; ЛУГАНСЬКА ОБЛАСТЬ ; Цупко  Марина Миколаївна ; Виключена з реєстру ; Детально 
